jockey,raceDist,postPosition,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH,dataType,raceNum,raceDate
FRANCO MANUEL,1870,4,AQU,d,MY,AO,59000,NA,36.28687980267527,train,NA,NA
FRANCO MANUEL,1760,4,AQU,D,FT,A,57000,NA,37.441497659906396,train,NA,NA
FRANCO MANUEL,1760,4,AQU,D,FT,A,57000,NA,37.174721189591075,train,NA,NA
ORTIZ IRAD JR,2420,5,BEL,D,FT,N,100000,NA,36.702009342329646,train,NA,NA
ORTIZ IRAD JR,2200,5,AQU,D,FT,G3,150000,NA,36.84296708694941,train,NA,NA
*CISTERNAS RAFAEL F,1968,5,*HC,D,FT,N,12661,NA,35.96082316825572,train,NA,NA
*CISTERNAS RAFAEL F,1859,5,*CP,D,FT,N,11351,NA,36.84950092063185,train,NA,NA
*CISTERNAS RAFAEL F,1750,5,*CP,D,FT,N,10255,NA,35.17289431606029,train,NA,NA
*CISTERNAS RAFAEL F,1859,5,*CP,D,FT,N,11796,NA,35.85910976989815,train,NA,NA
Other,1968,5,*CP,T,FT,N,8839,NA,37.87950075707674,train,NA,NA
*CISTERNAS RAFAEL F,1968,5,*CP,T,HY,N,10208,NA,36.190367216169605,train,NA,NA
Other,1750,5,*CP,T,TF,N,8640,NA,37.52537430071763,train,NA,NA
Other,2078,5,*VP,T,FT,N,16890,NA,37.60798571451553,train,NA,NA
ARROYO ANGEL S,2420,6,BEL,D,FT,N,100000,NA,36.25842367418693,train,NA,NA
ARROYO ANGEL S,2200,6,AQU,D,FT,G3,150000,NA,36.21730382293762,train,NA,NA
ARROYO ANGEL S,1980,6,AQU,d,FT,N,125000,NA,36.71804170444243,train,NA,NA
ARROYO ANGEL S,1760,6,AQU,d,FT,AO,78000,NA,36.33060853769301,train,NA,NA
MARAGH RAJIV,1830,6,AQU,d,FT,N,125000,NA,36.162513942438586,train,NA,NA
ORTIZ JOSE L,1830,6,AQU,d,FT,AO,78000,NA,36.486809807796256,train,NA,NA
CASTELLANO J J,1760,6,AQU,D,FT,AO,78000,NA,36.42618638065365,train,NA,NA
CASTELLANO J J,1870,6,BEL,D,FT,AO,90000,NA,37.25165562913907,train,NA,NA
CASTELLANO J J,1870,6,BEL,D,FT,AO,80000,NA,37.57736516357206,train,NA,NA
LEZCANO JOSE,1980,6,SAR,D,FT,AO,90000,NA,36.9424427620177,train,NA,NA
GAFFALIONE TYLER,1980,7,CT,D,SY,G2,1250000,NA,35.79952267303103,train,NA,NA
